OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,City,F5__Fully_Vaccinated,Population_5__,F5__Pop_Vaccinated___,Cases,Case_rate,Deaths,Death_rate,Date
90,136,City,Los Angeles,Rancho Park,Los Angeles - Rancho Park,LA City,23474757.34,22114.70212,Los Angeles,"6,167","6,151",≥ 95,1754,26738,2,30,
91,137,City,Los Angeles,Regent Square,Los Angeles - Regent Square,LA City,5641270.591,10671.47937,Los Angeles,"2,009","2,620",76.7,722,25971,4,144,
92,138,City,Los Angeles,Reseda,Los Angeles - Reseda,LA City,172710420.5,60082.49181,Los Angeles,"56,423","72,196",78.2,26398,34454,367,479,
93,139,City,Los Angeles,Reseda Ranch,Los Angeles - Reseda Ranch,LA City,20059159.66,19423.1461,Los Angeles,"3,347","4,370",76.6,1511,32593,6,129,
94,140,City,Los Angeles,Reynier Village,Los Angeles - Reynier Village,LA City,9661503.483,14772.49974,Los Angeles,"3,251","3,960",82.1,980,23179,3,71,
95,141,City,Los Angeles,San Pedro,Los Angeles - San Pedro*,LA City,332166938.2,312723.4882,Los Angeles,"48,875","73,373",66.6,21511,27565,179,229,
96,142,City,Los Angeles,Shadow Hills,Los Angeles - Shadow Hills,LA City,85188064.31,49148.43835,Los Angeles,"2,925","4,301",68,1060,23863,8,180,
97,143,City,Los Angeles,Sherman Oaks,Los Angeles - Sherman Oaks,LA City,305649530.5,95426.71027,Los Angeles,"66,550","83,021",80.2,21839,25029,154,176,
98,144,City,Los Angeles,Silverlake,Los Angeles - Silverlake,LA City,106082837.7,64788.65187,Los Angeles,"32,716","42,168",77.6,10984,24917,146,331,
99,145,City,Los Angeles,South Carthay,Los Angeles - South Carthay,LA City,14799254.14,18153.18549,Los Angeles,"7,250","9,850",73.6,2572,24276,11,104,
100,146,City,Los Angeles,South Park,Los Angeles - South Park,LA City,40186362.48,27708.01803,Los Angeles,"22,082","34,784",63.5,15330,40384,127,335,
101,147,City,Los Angeles,St Elmo Village,Los Angeles - St Elmo Village,LA City,4181467.203,8771.429,Los Angeles,"2,764","4,317",64,1614,35209,46,1003,
102,148,City,Los Angeles,Studio City,Los Angeles - Studio City,LA City,119814721.6,67206.60417,Los Angeles,"18,078","21,381",84.6,5488,24456,59,263,
103,149,City,Los Angeles,Sun Valley,Los Angeles - Sun Valley,LA City,383745979.3,148133.0918,Los Angeles,"35,192","49,069",71.7,19778,37685,197,375,
104,150,City,Los Angeles,Sunland,Los Angeles - Sunland,LA City,184207696.4,108169.6375,Los Angeles,"13,521","19,626",68.9,5533,27112,80,392,
105,151,City,Los Angeles,Sycamore Square,Los Angeles - Sycamore Square,LA City,1831246.994,5944.488463,Los Angeles,493,615,80.2,142,21947,2,309,
106,152,City,Los Angeles,Sylmar,Los Angeles - Sylmar*,LA City,330170563,119721.6273,Los Angeles,"58,657","77,486",75.7,35707,43335,315,382,
107,153,City,Los Angeles,Tarzana,Los Angeles - Tarzana,LA City,179079757.2,74083.35867,Los Angeles,"23,147","29,340",78.9,8461,27403,104,337,
108,154,City,Los Angeles,Temple-Beaudry,Los Angeles - Temple-Beaudry,LA City,38649818.51,54358.39113,Los Angeles,"24,845","37,318",66.6,11785,29849,135,342,
109,155,City,Los Angeles,Thai Town,Los Angeles - Thai Town,LA City,6113946.983,10572.17452,Los Angeles,"5,843","9,523",61.4,2417,24641,39,398,
110,156,City,Los Angeles,Toluca Lake,Los Angeles - Toluca Lake,LA City,28797142.83,25642.73355,Los Angeles,"6,724","8,429",79.8,1985,22806,11,126,
111,157,City,Los Angeles,Toluca Terrace,Los Angeles - Toluca Terrace,LA City,2478044.864,6540.312479,Los Angeles,943,"1,145",82.4,386,29556,10,766,
112,158,City,Los Angeles,Toluca Woods,Los Angeles - Toluca Woods,LA City,7178904.119,12247.82219,Los Angeles,"1,377","1,778",77.4,402,21636,0,0,
113,159,City,Los Angeles,Tujunga,Los Angeles - Tujunga,LA City,153839505.1,71574.32759,Los Angeles,"17,390","26,456",65.7,7281,26181,95,342,
114,160,City,Los Angeles,University Hills,Los Angeles - University Hills,LA City,13137886.54,18279.54129,Los Angeles,"1,865","3,275",56.9,764,22281,4,117,
115,161,City,Los Angeles,University Park,Los Angeles - University Park,LA City,38031882.76,34766.29983,Los Angeles,"20,133","26,218",76.8,9903,36069,76,277,
116,162,City,Los Angeles,Valley Glen,Los Angeles - Valley Glen,LA City,65393448.3,34152.21017,Los Angeles,"19,037","28,387",67.1,9431,31420,98,326,
117,163,City,Los Angeles,Valley Village,Los Angeles - Valley Village,LA City,57016389.01,35747.49991,Los Angeles,"17,791","23,372",76.1,6770,27387,95,384,
118,164,City,Los Angeles,Van Nuys,Los Angeles - Van Nuys*,LA City,205583079.8,92099.63021,Los Angeles,"58,858","87,013",67.6,32093,34437,429,460,
119,165,City,Los Angeles,Venice,Los Angeles - Venice,LA City,77917417.71,42922.86974,Los Angeles,"25,037","32,151",77.9,7563,22320,30,89,
120,166,City,Los Angeles,Vermont Knolls,Los Angeles - Vermont Knolls,LA City,29675172.65,25532.53942,Los Angeles,"10,900","16,023",68,6441,37448,76,442,
121,167,City,Los Angeles,Vermont Square,Los Angeles - Vermont Square,LA City,12397381.09,14176.13802,Los Angeles,"5,123","7,113",72,3265,42641,36,470,
122,168,City,Los Angeles,Vermont Vista,Los Angeles - Vermont Vista,LA City,52869829.08,36319.69935,Los Angeles,"23,708","37,728",62.8,16150,39212,128,311,
123,169,City,Los Angeles,Vernon Central,Los Angeles - Vernon Central,LA City,63653034,40198.04995,Los Angeles,"30,975","47,814",64.8,22420,43117,197,379,
124,170,City,Los Angeles,Victoria Park,Los Angeles - Victoria Park,LA City,11235374.52,16048.68203,Los Angeles,"5,434","7,861",69.1,2421,28825,18,214,
125,171,City,Los Angeles,Watts,Los Angeles - Watts,LA City,58204963.29,34132.31121,Los Angeles,"24,457","38,764",63.1,16821,39417,138,323,
126,172,City,Los Angeles,Wellington Square,Los Angeles - Wellington Square,LA City,9790642.453,13865.50406,Los Angeles,"3,283","4,629",70.9,1531,31150,13,264,
127,173,City,Los Angeles,West Adams,Los Angeles - West Adams,LA City,40806406.35,34783.71791,Los Angeles,"18,553","25,956",71.5,9306,33681,177,641,
128,174,City,Los Angeles,West Hills,Los Angeles - West Hills,LA City,278714351.1,105989.4354,Los Angeles,"31,146","38,974",79.9,9906,24432,142,350,
129,175,City,Los Angeles,West Los Angeles,Los Angeles - West Los Angeles,LA City,59720615.91,36418.64771,Los Angeles,"29,195","36,089",80.9,8965,23820,70,186,
130,176,City,Los Angeles,West Vernon,Los Angeles - West Vernon,LA City,70320110.63,50950.22279,Los Angeles,"33,596","49,819",67.4,21386,39867,242,451,
131,177,City,Los Angeles,Westchester,Los Angeles - Westchester,LA City,359386016.9,114672.7356,Los Angeles,"46,135","49,052",94.1,10443,20237,67,130,
132,178,City,Los Angeles,Westlake,Los Angeles - Westlake,LA City,32043122.85,25486.34347,Los Angeles,"35,494","56,854",62.4,17928,30205,362,610,
133,179,City,Los Angeles,Westwood,Los Angeles - Westwood,LA City,105853582.1,61354.73052,Los Angeles,"30,719","52,177",58.9,13139,24282,40,74,
134,180,City,Los Angeles,Wholesale District,Los Angeles - Wholesale District*,LA City,174999904.9,80438.25537,Los Angeles,"31,077","35,792",86.8,17183,47560,138,382,
135,181,City,Los Angeles,Wilmington,Los Angeles - Wilmington,LA City,196912290.1,111133.5745,Los Angeles,"34,954","52,395",66.7,20419,36148,135,239,
136,182,City,Los Angeles,Wilshire Center,Los Angeles - Wilshire Center,LA City,35975449.83,39976.88007,Los Angeles,"35,130","47,194",74.4,13924,27754,148,295,
137,183,City,Los Angeles,Winnetka,Los Angeles - Winnetka,LA City,139717944.2,57437.63491,Los Angeles,"37,935","48,804",77.7,16480,31823,123,238,
138,184,City,Los Angeles,Woodland Hills,Los Angeles - Woodland Hills,LA City,411329306.5,122458.3941,Los Angeles,"52,598","65,157",80.7,16552,24322,120,176,
139,226,,,,,,19267411128,949813.07,,,,,,,,,
140,244,,,,,,1353153.926,5303.655319,,,,,,,,,
141,258,,,,,,97260637.4,54670.84608,,,,,,,,,
142,262,,,,,,2500538.357,9192.38893,,,,,,,,,
143,284,,,,,,27999.91992,760.000029,,,,,,,,,
144,342,City,Los Angeles,View Heights,Los Angeles - View Heights,LA City,9594326.891,16405.59824,Los Angeles,"2,473","3,524",70.2,833,22550,9,244,
